name,date,rank,category,coverage
Aviateur,5,2265,TOUT,100.18858436007041
Aïcha,111,12,TOUT,15.841086245914004
Babacar,37,870,TOUT,100.10057832537089
Babel,7,2112,TOUT,100.17601206939904
Baby,2,2543,TOUT,100.21372894141311
Babylone tu déconnes,1,2884,TOUT,100.21372894141311
Bahia,9,1975,TOUT,100.17601206939904
Bal de Bamako,4,2423,TOUT,100.20115665074177
Balance (Mentissa),13,1745,TOUT,100.17601206939904
Balance ton quoi,38,849,TOUT,100.10057832537089
Balance-toi,9,1972,TOUT,100.17601206939904
Ballade de Jim,38,855,TOUT,100.10057832537089
Ballade de Johnny-Jane,16,1514,TOUT,100.16343977872768
Ballade de Melody Nelson,4,2349,TOUT,100.20115665074177
Ballade irlandaise,8,2090,TOUT,100.17601206939904
Bambina,12,1815,TOUT,100.17601206939904
Bambino (Dalida),52,587,TOUT,99.7108373145587
Bambino (Plastic Bertrand),1,2885,TOUT,100.21372894141311
Bambou,42,788,TOUT,100.08800603469952
Bang bang,31,1015,TOUT,100.13829519738498
Banlieue nord,11,1887,TOUT,100.17601206939904
Barbapapa,3,2466,TOUT,100.21372894141311
Barcelone,5,2264,TOUT,100.18858436007041
Bascule avec moi,12,1768,TOUT,100.17601206939904
Basique,28,1096,TOUT,100.13829519738498
Bateaux-mouches,13,1711,TOUT,100.17601206939904
Battez-vous,69,360,TOUT,97.83756600452602
Baïla,16,1544,TOUT,100.16343977872768
Be bop a lula,8,2089,TOUT,100.17601206939904
Beau,6,2182,TOUT,100.17601206939904
Beau malheur,80,229,TOUT,92.5823485038974
Beau-papa,28,1099,TOUT,100.13829519738498
Beaux dimanches,7,2139,TOUT,100.17601206939904
Belinda (Claude François),75,297,TOUT,96.06487301986422
Belinda (M. Pokora),1,2853,TOUT,100.21372894141311
Bella (Maître Gims),85,185,TOUT,88.44606487301986
Bella Ciao,27,1126,TOUT,100.13829519738498
Belle (Dadju/Gims/Slimane),1,2854,TOUT,100.21372894141311
Belle (Notre-Dame de Paris),76,276,TOUT,95.26024641689716
Belle demoiselle,99,68,TOUT,58.61201910988182
Belle à en crever,44,732,TOUT,100.02514458134273
Belle-Île-en-Mer Marie-Galante,65,406,TOUT,98.49132511943675
Belles belles belles,65,413,TOUT,98.57933115413628
Berlin,31,1006,TOUT,100.13829519738498
Bernard's song (Il n'est de nulle part),29,1056,TOUT,100.13829519738498
Besame mucho (embrasse-moi),14,1681,TOUT,100.17601206939904
Besoin d'air,2,2659,TOUT,100.21372894141311
Besoin d'amour,48,666,TOUT,99.86170480261504
Besoin de personne,75,295,TOUT,96.01458385717878
"Besoin de rien, envie de toi",104,37,TOUT,39.79129997485542
Best life,3,2442,TOUT,100.20115665074177
Bibbidi-Bobbidi-Boo,1,2855,TOUT,100.21372894141311
Bidon,54,560,TOUT,99.61025898918783
Bidonville,9,1978,TOUT,100.17601206939904
Bienvenue chez moi,99,67,TOUT,58.046266029670605
Big bisou,30,1044,TOUT,100.13829519738498
Bim bam toi,10,1918,TOUT,100.17601206939904
Bioman,27,1101,TOUT,100.13829519738498
Bleu blanc blond,12,1820,TOUT,100.17601206939904
Bleu comme toi,21,1332,TOUT,100.15086748805632
Blouse du dentiste,9,2020,TOUT,100.17601206939904
Bob Marley,5,2288,TOUT,100.18858436007041
Bobo,2,2568,TOUT,100.21372894141311
Bobo au cœur,15,1602,TOUT,100.16343977872768
Body Physical,2,2598,TOUT,100.21372894141311
Bonjour bonjour,2,2599,TOUT,100.21372894141311
Bonne bonne humeur ce matin,10,1917,TOUT,100.17601206939904
Bonne idée,26,1149,TOUT,100.13829519738498
Bonne nouvelle,5,2299,TOUT,100.18858436007041
Bonnie and Clyde,28,1095,TOUT,100.13829519738498
Bons baisers d'ici,2,2611,TOUT,100.21372894141311
Bons baisers de Fort-de-France,22,1299,TOUT,100.15086748805632
Bonsoir Clara,3,2447,TOUT,100.20115665074177
Bouge de là,45,721,TOUT,100.02514458134273
Boule de flipper (Corynne Charby),49,635,TOUT,99.78627105858688
Boum,22,1297,TOUT,100.15086748805632
Boum boum boum,48,660,TOUT,99.86170480261504
Boumbo,5,2279,TOUT,100.18858436007041
Bouquet final,3,2500,TOUT,100.21372894141311
Brave Margot,12,1785,TOUT,100.17601206939904
Bravo monsieur le monde,21,1344,TOUT,100.15086748805632
Bravo tu as gagné (Clara Luciani),2,2612,TOUT,100.21372894141311
Bravo tu as gagné (Mireille Mathieu),12,1787,TOUT,100.17601206939904
Brest,19,1407,TOUT,100.15086748805632
Brigitte Bardot,9,1971,TOUT,100.17601206939904
Briller,3,2473,TOUT,100.21372894141311
Bruxelles (Boulevard des Airs),39,834,TOUT,100.10057832537089
Bruxelles (Dick Annegarn),5,2308,TOUT,100.20115665074177
Bruxelles je t'aime,25,1179,TOUT,100.13829519738498
"Brésil, Finistère",14,1680,TOUT,100.17601206939904
Bubble Star,44,752,TOUT,100.05028916268543
Butterfly (Danyel Gérard),12,1826,TOUT,100.17601206939904
Butterfly (Superbus),59,486,TOUT,99.2708071410611
Bye-bye (Ménélik),87,172,TOUT,86.94996228312799
Bye-bye Leroy Brown,20,1389,TOUT,100.15086748805632
Bécassine,28,1079,TOUT,100.13829519738498
C'est beau la bourgeoisie,11,1874,TOUT,100.17601206939904
C'est beau la vie,9,1991,TOUT,100.17601206939904
C'est bientôt la fin,78,256,TOUT,94.05330651244657
C'est bon pour le moral,72,318,TOUT,96.70605984410359
C'est chelou,22,1280,TOUT,100.15086748805632
C'est comme vous voulez,4,2412,TOUT,100.20115665074177
C'est comme ça,70,344,TOUT,97.46039728438521
C'est comme ça que je t'aime,52,592,TOUT,99.74855418657279
C'est comme ça que l'on s'est aimé,1,2819,TOUT,100.21372894141311
C'est de l'or,14,1679,TOUT,100.17601206939904
C'est dit,74,299,TOUT,96.09001760120694
C'est déjà ça,6,2241,TOUT,100.17601206939904
C'est en septembre,11,1863,TOUT,100.17601206939904
C'est extra,37,881,TOUT,100.10057832537089
C'est facile,4,2418,TOUT,100.20115665074177
C'est l'amour,93,114,TOUT,75.73547900427458
C'est la fête,9,2021,TOUT,100.17601206939904
C'est la même chanson,52,595,TOUT,99.74855418657279
C'est la ouate,43,767,TOUT,100.05028916268543
C'est la vie (Marc Lavoine),1,2820,TOUT,100.21372894141311
C'est la vie (Mika),6,2196,TOUT,100.17601206939904
C'est la vie mon chéri,32,973,TOUT,100.11315061604225
C'est le cœur,1,2821,TOUT,100.21372894141311
C'est les vacances,4,2396,TOUT,100.20115665074177
C'est long c'est court,8,2043,TOUT,100.17601206939904
C'est lundi,45,731,TOUT,100.02514458134273
C'est ma prière (Mike Brant),51,601,TOUT,99.74855418657279
C'est ma terre,19,1409,TOUT,100.15086748805632
C'est ma vie,16,1569,TOUT,100.16343977872768
C'est magnifique,11,1861,TOUT,100.17601206939904
C'est moi,67,379,TOUT,98.17701785265275
C'est mon dernier bal,23,1269,TOUT,100.15086748805632
C'est pas d'l'amour,11,1836,TOUT,100.17601206939904
C'est pas la joie,4,2395,TOUT,100.20115665074177
C'est quand le bonheur,67,378,TOUT,98.1644455619814
C'est si bon,16,1570,TOUT,100.16343977872768
C'est ta chance,17,1488,TOUT,100.15086748805632
C'est toi,5,2307,TOUT,100.18858436007041
C'est toi que je t'aime,23,1255,TOUT,100.13829519738498
C'est trop,6,2242,TOUT,100.17601206939904
C'est un rocker,29,1072,TOUT,100.13829519738498
C'est une belle journée,21,1333,TOUT,100.15086748805632
C'est une chanson,16,1572,TOUT,100.16343977872768
C'est ça la France,52,591,TOUT,99.74855418657279
C'est écrit (Francis Cabrel),52,590,TOUT,99.74855418657279
C'était bien (au p'tit bal perdu),18,1448,TOUT,100.15086748805632
Calicoba,10,1926,TOUT,100.17601206939904
California,11,1873,TOUT,100.17601206939904
Call on me,4,2411,TOUT,100.20115665074177
Calypso,13,1726,TOUT,100.17601206939904
Caméléon,10,1924,TOUT,100.17601206939904
Canary bay,10,1925,TOUT,100.17601206939904
Canopée,1,2815,TOUT,100.21372894141311
Canoë rose,15,1580,TOUT,100.16343977872768
Capitaine Flam,29,1075,TOUT,100.13829519738498
Capitaine abandonné,59,489,TOUT,99.28337943173247
Capri c'est fini,86,178,TOUT,87.72944430475232
Caravane,76,279,TOUT,95.39854161428212
Cargo (Axel Bauer),106,26,TOUT,30.538094040734222
Carmen,57,513,TOUT,99.43424691978878
Caroline (MC Solaar),90,138,TOUT,81.46844355041488
Carrousel,11,1854,TOUT,100.17601206939904
Carré OK,1,2791,TOUT,100.21372894141311
Carte postale,3,2458,TOUT,100.20115665074177
Casanova,2,2644,TOUT,100.21372894141311
Casatchok,15,1591,TOUT,100.16343977872768
Casser la voix,91,132,TOUT,80.38722655267789
Cassé,89,139,TOUT,81.63188332914257
Casting,1,2792,TOUT,100.21372894141311
Catchu Catchu,26,1136,TOUT,100.13829519738498
Ce matin,40,812,TOUT,100.10057832537089
Ce mec est too much,6,2216,TOUT,100.17601206939904
Ce n'est rien,34,931,TOUT,100.11315061604225
Ce petit chemin,4,2359,TOUT,100.20115665074177
Ce que l'on s'aime,25,1180,TOUT,100.13829519738498
Ce qui est dit doit être fait,4,2360,TOUT,100.20115665074177
Ce rêve bleu (Karine Costa et Daniel Lévi),22,1308,TOUT,100.15086748805632
Ce rêve bleu (Karine Costa et Paolo Domingo),55,536,TOUT,99.57254211717374
Ce soir,15,1592,TOUT,100.16343977872768
Ce soir je ne dors pas,2,2610,TOUT,100.21372894141311
Ce soir on danse à Naziland,4,2407,TOUT,100.20115665074177
Celui,8,2048,TOUT,100.17601206939904
Celui d'en bas,11,1853,TOUT,100.17601206939904
Celui qui chante (Michel Berger),80,233,TOUT,92.8086497359819
Celui qui part,5,2295,TOUT,100.18858436007041
Cendrillon,87,166,TOUT,86.08247422680412
Ces garçons-là,8,2049,TOUT,100.17601206939904
Ces gens-là,13,1725,TOUT,100.17601206939904
Ces idées-là,49,646,TOUT,99.83656022127232
Ces mots stupides,2,2650,TOUT,100.21372894141311
Ces soirées-là,89,145,TOUT,82.85139552426453
Cette année-là (Claude François),93,111,TOUT,74.96856927332159
Cette année-là (M. Pokora),9,1960,TOUT,100.17601206939904
Cette vie,1,2786,TOUT,100.21372894141311
Ceux qu'on était,9,1959,TOUT,100.17601206939904
Ceux qui n'ont rien,2,2647,TOUT,100.21372894141311
Chacun de son côté,14,1687,TOUT,100.17601206939904
Chacun fait (c'qui lui plaît),96,87,TOUT,67.18632134774955
Chacun sa route,34,933,TOUT,100.11315061604225
Chalouper,11,1842,TOUT,100.17601206939904
Champagne,29,1061,TOUT,100.13829519738498
Changer,11,1841,TOUT,100.17601206939904
Changez tout,21,1346,TOUT,100.15086748805632
Chanson d'Émilie Jolie et du grand oiseau,12,1829,TOUT,100.17601206939904
Chanson de Maxence,1,2787,TOUT,100.21372894141311
Chanson de l'autruche,15,1634,TOUT,100.16343977872768
Chanson des jumelles,91,124,TOUT,78.31279859190344
Chanson du hérisson,1,2788,TOUT,100.21372894141311
Chanson hypocalorique,1,2789,TOUT,100.21372894141311
Chanson populaire,84,195,TOUT,89.81644455619814
Chanson pour l'Auvergnat,29,1055,TOUT,100.13829519738498
Chanson sur ma drôle de vie (Véronique Sanson),93,109,TOUT,74.39024390243902
Chanson sur une drôle de vie (Tout ce qui brille),2,2648,TOUT,100.21372894141311
Chante,65,411,TOUT,98.5416142821222
Chanter,82,212,TOUT,91.36283630877546
Chanter pour ceux qui sont loin de chez eux (Lââm),7,2160,TOUT,100.17601206939904
Chanter pour ceux qui sont loin de chez eux (Michel Berger),72,319,TOUT,96.7689212974604
Chanteur de jazz,35,920,TOUT,100.11315061604225
Chante… (comme si tu devais mourir demain),53,568,TOUT,99.6228312798592
Chaque jour de plus,2,2607,TOUT,100.21372894141311
Chaque seconde (Pierre Garnier et M. Pokora),1,2757,TOUT,100.21372894141311
Charger,1,2758,TOUT,100.21372894141311
Chariot,17,1466,TOUT,100.15086748805632
Chasseur d'ivoire,2,2608,TOUT,100.21372894141311
Cherchez le garçon,33,949,TOUT,100.11315061604225
Cheveux longs et idées courtes,2,2609,TOUT,100.21372894141311
Chez Laurette (Michel Delpech),52,593,TOUT,99.74855418657279
Chez moi,22,1300,TOUT,100.15086748805632
Chez toi,3,2478,TOUT,100.21372894141311
Chic planète,35,912,TOUT,100.11315061604225
Chicago,5,2309,TOUT,100.20115665074177
Chienne d'idée,1,2784,TOUT,100.21372894141311
Chiens,1,2785,TOUT,100.21372894141311
Chipolata,2,2649,TOUT,100.21372894141311
Cho ka ka o,43,758,TOUT,100.05028916268543
Chocolat,58,502,TOUT,99.38395775710335
Chou wasabi,37,880,TOUT,100.10057832537089
Christine,62,453,TOUT,99.03193361830526
Châtelet les Halles,25,1198,TOUT,100.13829519738498
Chère amie,20,1359,TOUT,100.15086748805632
Ciel,4,2363,TOUT,100.20115665074177
Clara veut la lune,5,2337,TOUT,100.20115665074177
Clic clic pan pan,14,1689,TOUT,100.17601206939904
Clown,42,787,TOUT,100.08800603469952
Coco,12,1801,TOUT,100.17601206939904
Coco câline,48,650,TOUT,99.83656022127232
Cocotiers,14,1690,TOUT,100.17601206939904
Color Gitano,82,210,TOUT,91.18682423937642
Colore,78,258,TOUT,94.16645712848882
Combien de temps,58,501,TOUT,99.38395775710335
Come prima,3,2443,TOUT,100.20115665074177
Comic Strip,6,2244,TOUT,100.17601206939904
Comme c'est bon,8,2050,TOUT,100.17601206939904
"Comme d'habitude (1, 2, 3 Soleils)",1,2751,TOUT,100.21372894141311
Comme d'habitude (Claude François),44,741,TOUT,100.05028916268543
Comme d'habitude (Michel Sardou),1,2752,TOUT,100.21372894141311
Comme des enfants,68,369,TOUT,97.9381443298969
Comme disait Mistinguett,42,774,TOUT,100.05028916268543
Comme ils disent (Charles Aznavour),42,775,TOUT,100.07543374402816
Comme ils disent (Tayc),1,2753,TOUT,100.21372894141311
Comme je l'imagine,33,958,TOUT,100.11315061604225
Comme quand j'étais môme,12,1776,TOUT,100.17601206939904
Comme toi,40,821,TOUT,100.10057832537089
Comme un arbre,9,1987,TOUT,100.17601206939904
Comme un avion sans aile,21,1349,TOUT,100.15086748805632
Comme un boomerang,99,61,TOUT,55.129494593915005
Comme un fils,4,2392,TOUT,100.20115665074177
Comme un garçon,69,353,TOUT,97.6866985164697
Comme un hic,30,1043,TOUT,100.13829519738498
Comme un homme,11,1896,TOUT,100.17601206939904
Comme un igloo,27,1122,TOUT,100.13829519738498
Comme un manouche sans guitare,77,265,TOUT,94.53105355795826
Comment est ta peine,13,1753,TOUT,100.17601206939904
Comment lui dire (France Gall),28,1088,TOUT,100.13829519738498
Comment lui dire (Roméo & Juliette),16,1532,TOUT,100.16343977872768
Comment on fait,4,2393,TOUT,100.20115665074177
Comment te dire adieu (Françoise Hardy),47,672,TOUT,99.86170480261504
Comment te dire adieu (Jimmy Somerville et June Miles Kingston),3,2501,TOUT,100.21372894141311
Comment ça va pour vous ?,27,1109,TOUT,100.13829519738498
Compagnons,9,1988,TOUT,100.17601206939904
Complainte de la serveuse automate,41,803,TOUT,100.10057832537089
Compliqué,21,1318,TOUT,100.15086748805632
Complémentaires,5,2298,TOUT,100.18858436007041
Comportement,4,2405,TOUT,100.20115665074177
Confessions nocturnes,18,1443,TOUT,100.15086748805632
Confidence pour confidence,61,467,TOUT,99.2079456877043
Conmigo,41,800,TOUT,100.10057832537089
Conquistador,11,1894,TOUT,100.17601206939904
Cool,63,446,TOUT,98.94392758360573
Copacabana,32,986,TOUT,100.13829519738498
Copines,16,1523,TOUT,100.16343977872768
Corps,16,1539,TOUT,100.16343977872768
Corps à corps,18,1446,TOUT,100.15086748805632
Cosmo,55,550,TOUT,99.59768669851647
Coucouroucoucou Paloma,3,2450,TOUT,100.20115665074177
Couleur,2,2616,TOUT,100.21372894141311
Couleur café (Serge Gainsbourg),55,547,TOUT,99.58511440784511
Couleur menthe à l'eau (Eddy Mitchell),77,264,TOUT,94.50590897661554
Coup de blues/soleil,7,2148,TOUT,100.17601206939904
Coup de vieux,11,1893,TOUT,100.17601206939904
Coups et blessures,69,348,TOUT,97.53583102841338
Crache ton venin,3,2479,TOUT,100.21372894141311
Crois-moi,4,2394,TOUT,100.20115665074177
Cuitas les bananas,2,2582,TOUT,100.21372894141311
Cécile ma fille,32,996,TOUT,100.13829519738498
Cécilia,6,2228,TOUT,100.17601206939904
Célimène,42,785,TOUT,100.08800603469952
Céline (Hugues Aufray),24,1227,TOUT,100.13829519738498
Cézanne peint,21,1342,TOUT,100.15086748805632
Côte ouest (47Ter),6,2240,TOUT,100.17601206939904
Cœur de loup,76,275,TOUT,95.15966809152627
Cœur de rocker,69,358,TOUT,97.7872768418406
Cœur maladroit,3,2484,TOUT,100.21372894141311
Cœur poids plume,4,2397,TOUT,100.20115665074177
Cœurdonnier,27,1115,TOUT,100.13829519738498
D'Allemagne,21,1325,TOUT,100.15086748805632
D'amour ou d'amitié (Céline Dion),36,900,TOUT,100.11315061604225
D'autres que nous,16,1538,TOUT,100.16343977872768
D'aventures en aventures,33,952,TOUT,100.11315061604225
D.I.S.C.O.,23,1250,TOUT,100.13829519738498
DJ,33,957,TOUT,100.11315061604225
Da Vinci Claude,35,910,TOUT,100.11315061604225
Da dou ron ron,13,1754,TOUT,100.17601206939904
Dadidou,1,2726,TOUT,100.21372894141311
Daisy,15,1585,TOUT,100.16343977872768
Dallas,15,1584,TOUT,100.16343977872768
"Damn, dis-moi",16,1576,TOUT,100.16343977872768
Daniela,24,1225,TOUT,100.13829519738498
Dans la maison vide,51,605,TOUT,99.74855418657279
Dans la rue,2,2617,TOUT,100.21372894141311
Dans la vie faut pas s'en faire,8,2041,TOUT,100.17601206939904
Dans le temps,5,2271,TOUT,100.18858436007041
Dans les yeux d'Émilie (Joe Dassin),59,483,TOUT,99.24566255971838
Dans mes bras,1,2727,TOUT,100.21372894141311
Dans mes poches,28,1089,TOUT,100.13829519738498
Dans mon HLM,35,909,TOUT,100.11315061604225
Dans ta radio,10,1903,TOUT,100.17601206939904
Dans un autre monde (Céline Dion),100,53,TOUT,50.42745788282625
Dans un vieux rock'n'roll,50,614,TOUT,99.74855418657279
Dans une larme,59,492,TOUT,99.30852401307519
Danse,58,505,TOUT,99.38395775710335
Danser,5,2272,TOUT,100.18858436007041
Dansez maintenant,20,1355,TOUT,100.15086748805632
Dansez sur moi,16,1522,TOUT,100.16343977872768
Davy Crockett,4,2403,TOUT,100.20115665074177
De l'amour,17,1500,TOUT,100.16343977872768
De l'or,9,2007,TOUT,100.17601206939904
De mes propres ailes,18,1462,TOUT,100.15086748805632
De temps en temps,37,875,TOUT,100.10057832537089
De zéro en héros,18,1441,TOUT,100.15086748805632
Decrescendo,8,2039,TOUT,100.17601206939904
Demain (Big Flo et Oli & P'tit Biscuit),31,1004,TOUT,100.13829519738498
Demain (Thomas Dutronc),33,963,TOUT,100.11315061604225
Demain sera parfait,14,1664,TOUT,100.16343977872768
Demain tu te maries,5,2284,TOUT,100.18858436007041
"Denver, le dernier dinosaure",14,1665,TOUT,100.16343977872768
Dernier métro,12,1763,TOUT,100.17601206939904
Derniers baisers (Laurent Voulzy),1,2722,TOUT,100.21372894141311
Derniers baisers (Les Chats Sauvages),9,1994,TOUT,100.17601206939904
Dernière,7,2133,TOUT,100.17601206939904
Dernière danse (Indila),66,389,TOUT,98.26502388735227
Dernière danse (Kyo et Cœur de Pirate),1,2723,TOUT,100.21372894141311
Dernière danse (Kyo),106,30,TOUT,34.02061855670103
Derrière l'amour,50,632,TOUT,99.77369876791552
Derrière le brouillard,10,1952,TOUT,100.17601206939904
Des attractions désastre,20,1356,TOUT,100.15086748805632
"Des hauts, des bas",30,1034,TOUT,100.13829519738498
Des heures hindoues,21,1320,TOUT,100.15086748805632
Des hommes pareils,1,2724,TOUT,100.21372894141311
Des milliers de je t’aime,7,2131,TOUT,100.17601206939904
Des mots qui résonnent,88,161,TOUT,85.46643198390747
Des rails,19,1399,TOUT,100.15086748805632
